id,product_name,product_price,product_category,product_desc,product_subcat
34,Asian Stir-Fry Vegetables,2.99,Food - Frozen Foods,Frozen mix of colorful stir-fry veggies.,Frozen Vegetables
35,Under Desk Footrest,29.99,Office,Adjustable footrest for improved comfort while sitting.,Office Accessories
36,Mesh Sports Leggings,39.99,Clothing - Activewear,Breathable mesh sports leggings for ultimate comfort.,Leggings
37,Plant-Based Meal Prep Containers,18.99,Kitchen,Eco-friendly meal prep containers for healthy eating.,Food Storage Solutions
38,Tea Infuser,12.99,Kitchen,Silicone tea infuser for brewing loose leaf tea.,Coffee Accessories
39,Kids' Activity Book,14.99,Books,Fun book filled with puzzles and games for kids.,Children's Educational Books
40,Plant Pot Drip Trays,9.99,Garden,Prevent water damage with drip trays for potted plants.,Gardening Accessories
41,Travel Jewelry Case,24.99,Accessories,Portable case to organize and protect jewelry on trips.,Jewelry Storage
42,Roasted Garlic Butter,3.29,Food - Condiments,A flavorful spread made with roasted garlic and creamy butter.,Flavored Butters
43,Travel Document Organizer,15.99,Travel,"Organize travel documents, passport, and cards.",Travel Accessories
44,Tortilla Chips,2.99,Food - Snacks,"Crispy tortilla chips, perfect for dipping.",Chips and Crisps
45,Pet Travel Carrier,39.99,Pets,Comfortable carrier for small pets during travel.,Travel Accessories
46,Cranberry Pecan Granola,3.99,Food - Breakfast Foods,Crunchy granola with cranberries and pecans.,Granola and Muesli
47,Sweet Potato Noodles,3.79,Food - Pasta,"Pasta alternative made from sweet potatoes, gluten-free and rich in flavor.",Specialty Pasta
48,Nutty Granola Clusters,2.49,Food - Cereal,Crunchy granola clusters mixed with nuts and honey.,Granola
49,Magnet Travel Fridge Magnets,12.99,Accessories,Fun tourist magnets from around the world for your fridge.,Travel Souvenirs
50,Trackpad for Laptop,49.99,Accessories,Wireless trackpad for enhanced laptop navigation.,Tech Accessories
51,Basic V-Neck T-Shirt,19.99,Clothing - Tops,A staple v-neck t-shirt that pairs well with anything.,T-Shirts
52,Pineapple Coconut Rice Mix,3.99,Food - Grains,A flavorful blend of rice with tropical pineapple and coconut flavors.,Rice Dishes
53,Sesame Garlic Noodles,3.49,Food - Pasta,Delicious noodles tossed in a sesamegarlic sauce.,Asian Dishes
54,Insulated Sport Tumbler,22.99,Fitness,Vacuum-insulated tumbler for beverages on the go.,Hydration Gear
55,Wireless Charger,24.99,Accessories,Qi-certified wireless charger for fast charging.,Power Accessories
56,Spicy Thai Noodles,1.99,Food - Frozen Meals,Instant noodles with a spicy Thai sauce for quick meals.,Frozen Asian Meals
57,Digital Meat Thermometer,24.99,Kitchen,Instant-read thermometer for precise cooking temperatures.,Cooking Tools & Utensils
58,Travel Jewelry Case,24.99,Accessories,Portable case to organize and protect jewelry on trips.,Jewelry Storage
59,Personal Blender with Travel Lid,34.99,Kitchen,Blender designed for smoothies and shakes on the go.,Blenders & Juicers
60,Pumpkin Ice Cream,4.99,Food - Frozen Foods,"Seasonal pumpkin ice cream, perfect for fall.",Frozen Desserts
61,Stainless Steel Straws,12.99,Kitchen,Set of reusable stainless steel straws for drinks.,Kitchen Accessories
62,Granola Clusters,4.99,Food - Cereal,"Crunchy granola clusters, perfect for snacking or topping yogurt.",Granola
63,Electronic Drum Kit,359.99,Music,Compact electronic drum kit for musicians of all levels.,Instruments
64,Decorative LED Neon Sign,45.99,Home,"Bright, vibrant sign to add flair to any space.",Lighting & Lamps
65,Lemon Dill Salmon,9.99,Food - Seafood,"Salmon fillets seasoned with lemon and dill, perfect for grilling.",Prepared Seafood
66,Fitness Tracker Band,29.99,Fitness,Affordable fitness tracker with heart rate monitor.,Wearable Technology
67,Fitness Balance Ball,24.99,Fitness,Stability ball for Pilates and yoga workouts.,Fitness Equipment
68,Almond Butter Crunch Bar,1.99,Food - Snacks,Nutritious snack bar made with almond butter and protein.,Nut-Based Snacks
69,Electric Ice Cream Maker,59.99,Kitchen,Make delicious ice cream at home with this user-friendly machine.,Cooking Appliances
70,Electric Rice Cooker with Steamer,49.99,Kitchen,Cook rice and steam vegetables simultaneously for healthy meals.,Small Appliances
71,Chiffon Blouse,39.99,Clothing - Shirts,Elegant chiffon blouse perfect for work or outings.,Dress Shirts
72,Incense Holder,14.99,Home,Ceramic incense holder for a calming atmosphere.,Decorative Wall Art & Accessories
73,Vegetable Fried Rice,4.99,Food - Frozen Foods,Quick and easy fried rice mixed with vegetables and soy sauce.,Frozen Meals
74,Sweet Potato Fries,3.99,Food - Frozen Foods,"Crispy sweet potato fries, a delicious side dish.",Frozen Snacks
75,Ground Turkey,5.49,Food - Meat,"Lean and versatile ground turkey, perfect for various dishes.",Poultry
76,Cinnamon Roll Kit,6.89,Food - Baking,Everything you need to make melt-in-your-mouth cinnamon rolls at home.,Baking Kits
77,Collapsible Folding Chair,29.99,Outdoor,Lightweight and portable chair for camping or events.,Camping Equipment
78,Butternut Squash Soup,3.49,Food - Soups,"Creamy and delicious soup made with real butternut squash, ready to heat.",Vegetarian Soups
79,Portable Electric Fan,24.99,Home,Compact fan for personal cooling at work or home.,Home Appliances
80,Natural Soy Candles,19.99,Home,Eco-friendly soy candles with a variety of scents.,Home Fragrance & Accessories
81,Veggie Lovers Pizza,8.99,Food - Frozen Foods,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,Frozen Pizza
82,Buttermilk Pancakes,3.99,Food - Breakfast,Fluffy pancakes with buttermilk flavor.,Pancakes & Waffles
83,Honey Glazed Carrots,3.49,Food - Produce,"Sweet and savory carrots glazed in honey, perfect as a side dish.",Prepared Vegetables
84,Portable Laptop Table,39.99,Office,Foldable table for working with laptops anywhere.,Laptop Accessories
85,Wall-Mounted Spice Rack,39.99,Kitchen,Space-saving rack to store and organize spices conveniently.,Kitchen Storage & Organization
86,Vegan Chickpea Salad,3.99,Food - Prepared Foods,"Healthy salad made with chickpeas, vegetables, and a lemon dressing.",Salads
87,Wall-Mounted Bookshelf,39.99,Home,Floating bookshelf to display your favorite books.,Home Furnishings
88,Honey Garlic Sauce,2.59,Food - Sauces,A delicious sauce perfect for stir-frying or glazing meats.,Condiments
89,Cacao Nibs,6.49,Food - Baking,"Crunchy cacao nibs, great for adding to smoothies or baking.",Baking Ingredients
90,LED Desk Lamp,35,Home,Dimmable LED desk lamp with USB charging port.,Lighting & Lamps
91,Thermostatic Shower Valve Kit,39.99,Bathroom,Regulate water temperature for safe and comfortable showers.,Shower Fixtures
92,Cauliflower Rice Stir-Fry,4.99,Food - Frozen Foods,Frozen cauliflower rice blended with mixed vegetables and seasonings.,Frozen Vegetables
93,Beef Chili,4.5,Food - Canned Goods,"Hearty beef chili, ready to heat and eat.",Soups & Broths
94,Organic Lentil Soup,4.99,Food - Soups,A hearty soup made with organic lentils and vegetables.,Canned Soups
95,Inflatable Paddle Board,349.99,Outdoor,Lightweight and portable paddle board for water sports.,Outdoor Recreation
96,Drone,249.99,Electronics,Beginner-friendly drone with HD camera.,Drones & Accessories
97,Mini Electric Kettle,29.99,Kitchen,Quick boiling kettle for small kitchens and dorms.,Small Appliances
98,Travel Pillow,22.99,Travel,Memory foam travel pillow for neck support.,Travel Accessories
99,Chili Powder,2.09,Food - Spices,Spicy chili powder to add heat to dishes.,Seasoning Blends
100,Portable Camping Stove,49.99,Outdoor,Compact camp stove for outdoor cooking.,Camping Equipment
101,Organic Brown Rice Cakes,3.99,Food - Snacks,Light and crunchy rice cakes made from organic brown rice.,Healthy Snacks
102,Sporty Cap,15.99,Clothing - Accessories,Stylish cap to complete your athletic look.,Headwear
103,LED Flashlight with Rechargeable Batteries,19.99,Outdoor,Bright flashlight with rechargeable batteries included.,Camping Equipment
104,Pecan Nuts,6.49,Food - Snacks,"Nutty, crunchy pecans great for baking.",Nuts and Seeds
105,Bluetooth Headphones,79.99,Audio,Noise-cancelling Bluetooth headphones for immersive sound.,Wireless Audio Accessories
106,Camping Tent,79.99,Outdoor,Spacious 2-person camping tent with waterproof cover.,Camping Equipment
107,Non-Stick Baking Sheet,18.99,Kitchen,Durable baking sheet coated for easy food release.,Baking Accessories
108,Lightweight Travel Backpack,39.99,Travel,Compact and portable backpack for day trips and travel.,Travel Accessories
109,Personalized Keychain,10.99,Accessories,Custom keychain with engraved text.,Custom Accessories
110,Peanut Butter Filled Pretzels,3.99,Food - Snacks,Salty pretzels filled with creamy peanut butter.,Savory Snacks
111,Whole Wheat Pita Bread,2.79,Food - Bread,"Soft and fluffy whole wheat pita bread, great for wraps.",Whole Grain Breads
112,Bike Helmet,34.99,Bicycles,Lightweight bike helmet with adjustable fit.,Accessories
113,Asian Salad Mix,3.99,Food - Produce,Fresh greens and veggies for a quick Asian-inspired salad.,Salad Mixes
114,Oversized Denim Shirt,49.99,Clothing - Shirts,A trendy oversized denim shirt perfect for layering.,Casual Shirts
115,Luxury Bath Salts,19.99,Beauty,Scented bath salts for relaxation and self-care.,Bath & Body
116,Personal Safety Alarm,12.99,Safety,Compact alarm for personal safety and security.,Self-Defense Tools
117,Garlic Herb Marinade,3.29,Food - Marinades,"A savory marinade for meats, perfect for grilling.",Marinades
118,Lemon Zest Olive Oil,8.99,Food - Oils & Vinegars,High-quality olive oil infused with fresh lemon zest.,Oils
119,Almond Milk Yogurt,1.99,Food - Dairy Alternatives,"Creamy yogurt made from almond milk, vegan-friendly.",Plant-Based Yogurt
120,Chili Beans in Sauce,1.79,Food - Canned Goods,Canned beans cooked in a savory chili sauce,Canned Legumes
121,Protein Pancake Mix,3.99,Food - Breakfast,A protein-packed pancake mix for a nutritious breakfast.,Pancakes & Waffles
122,Foldable Electric Scooter,349.99,Outdoor,Compact electric scooter for commuting and short trips.,Outdoor Accessories
123,Black Bean Spaghetti,3.99,Food - Pasta,"High-protein pasta made from black beans, gluten-free.",Specialty Pasta
124,Lentils,2.99,Food - Grains,"High in protein, perfect for soups and stews.",Legumes
125,Ground Turkey,5.49,Food - Meat,"Lean and versatile ground turkey, perfect for various dishes.",Poultry
126,Honey Mustard Dip,3.29,Food - Condiments,Sweet and tangy honey mustard dip for snacks.,Dips & Spreads
127,Smartphone Tripod,29.99,Photography,Adjustable tripod for smartphones and cameras.,Tripods & Accessories
128,Portable Bluetooth Keyboard,39.99,Electronics,Compact keyboard for tablets and smartphones.,Computer Accessories
129,Sour Cream,3.49,Food - Dairy,"Tangy sour cream, perfect for dips and toppings.",Dairy Spreads
130,Fitness Tracker,49.99,Fitness,"Track steps, heart rate, and sleep patterns.",Wearable Technology
131,Magnetic Spice Containers,24.99,Kitchen,Set of magnetic jars for convenient spice organization.,Kitchen Storage & Organization
132,Adjustable Dog Harness,24.99,Pets,Comfortable and adjustable harness for dogs.,Dog Accessories
133,Handmade Wooden Utensil Set,24.99,Kitchen,Unique handcrafted utensils for cooking and serving.,Cooking Tools & Utensils
134,Sweet Potatoes (organic),1.99,Food - Vegetables,"Fresh organic sweet potatoes, great for roasting or mashing.",Vegetables
135,Comfy Slippers,29.99,Footwear,Soft and cozy slippers for indoor wear.,Home Footwear
136,Magnetic Phone Car Mount,14.99,Automotive,Strong magnetic holder for smartphones in cars.,Phone Accessories
137,LED Christmas Tree Lights,34.99,Home,String lights for decorating holiday trees.,Seasonal Home Decor
138,Dark Chocolate Almond Butter Cups,4.99,Food - Snacks,Rich almond butter encased in dark chocolate.,Nut-Based Snacks
139,Maple Almond Butter,5.49,Food - Nut Butters,Creamy almond butter sweetened with maple syrup for a delicious spread.,Nut Butters
140,Lightweight Workout Tank,29.99,Clothing - Activewear,Breathable tank top perfect for workouts or casual wear.,Tanks & Sleeveless Tops
141,Sunglasses Case,15.99,Accessories,Hard-shell case for protecting sunglasses.,Eyewear
142,Stainless Steel Water Bottle,25.99,Fitness,Durable and insulated water bottle to keep beverages cold.,Hydration Gear
143,Rechargeable Laptop Battery Pack,49.99,Electronics,Portable battery pack to charge laptops while on the move.,Computer Accessories
144,Decorative Throw Blanket,39.99,Home,Soft throw blanket for cozy home decor.,Bedding & Linens
145,Pomegranate Juice,4.49,Food - Beverages,"Fresh pomegranate juice, rich in antioxidants.",Juice
146,Insulated Sport Tumbler,22.99,Fitness,Vacuum-insulated tumbler for beverages on the go.,Hydration Gear
147,Mediterranean Flatbread,3.5,Food - Bakery,"Artisan bread topped with olives, feta, and herbs, perfect for sharing.",Flatbreads
148,Chic Ankle Strap Heels,69.99,Clothing - Shoes,Stylish ankle strap heels for a classy look at any event.,Women's Footwear
149,Cauliflower Rice Stir-Fry,4.99,Food - Frozen Foods,Frozen cauliflower rice blended with mixed vegetables and seasonings.,Frozen Vegetables
150,Honey Sriracha Chicken Bites,7.99,Food - Frozen Foods,"Frozen chicken bites coated in a honey sriracha glaze, spicy and sweet.",Frozen Appetizers
151,Tuna Fish (canned),2.29,Food - Canned Goods,"Wild-caught tuna in olive oil, perfect for salads.",Seafood
152,Rolling Cooler,59.99,Outdoor,Wheeled cooler for transporting drinks and snacks.,Outdoor Accessories
153,Honey Roasted Chickpeas,3.29,Food - Snacks,Crispy chickpeas roasted with honey for a sweet and satisfying snack.,Savory Snacks
154,Himalayan Pink Salt,1.99,Food - Condiments,"Natural mineral salt with a subtle flavor, ideal for cooking and seasoning.",Specialty Salts
155,Comfy Slippers,29.99,Footwear,Soft and cozy slippers for indoor wear.,Home Footwear
156,Lightweight Rain Jacket,79.99,Clothing - Outerwear,"Water-resistant jacket ideal for outdoor activities, featuring a packable design.",Outerwear
157,Sculpting Kit,25.99,Art Supplies,Complete sculpting tools for artists.,Sculpting Supplies
158,3D Night Light,19.99,Home,Color-changing 3D night light for kids' rooms.,Decorative Wall Art & Accessories
159,Electric Food Steamer,59.99,Kitchen,Electric food steamer for healthy cooking.,Small Appliances
160,Sliced Cheese,4.49,Food - Dairy,"Assorted sliced cheese, perfect for sandwiches.",Cheese
161,Kid's Fruit Snacks,2.49,Food - Snacks,Assorted fruit-flavored gummy snacks that kids love.,Sweet Snacks
162,Spicy Thai Coconut Soup,3.99,Food - Soups,"A ready-to-eat soup with coconut milk, spices, and vegetables.",Specialty Soups
163,Self-Cleaning Cat Litter Box,199.99,Pets,Automated litter box that cleans itself after each use.,Cat Care
164,Handcrafted Wooden Coasters,19.99,Home,Set of unique wooden coasters for drinks and decor.,Decorative Wall Art & Accessories
165,Travel Mug,18.99,Kitchen,Stainless steel travel mug with spill-proof lid.,Drinkware
166,Fashionable Scarves Set,24.99,Clothing,Stylish scarves to accessorize any outfit.,Accessories
167,Pasta Sauce Mix,1.29,Food - Sauces,Just add water for a quick pasta sauce.,Dry Sauces
168,Compact Pop-Up Tent,69.99,Outdoor,Easy setup tent perfect for camping and outdoor festivals.,Camping Equipment
169,Chicken Broth,2.49,Food - Canned Goods,"Rich and flavorful chicken broth, great for soups.",Soups & Broths
170,Electric Hot Water Dispenser,59.99,Kitchen,Instant hot water dispenser for tea and cooking.,Small Appliances
171,Cucumber,0.99,Food - Produce,"Fresh and crunchy cucumbers, great for salads.",Fruits & Vegetables
172,Sushi Roll Kit,9.99,Food - Cooking Kits,All ingredients needed to make your own sushi,Japanese Cooking Kits
173,Sweet Cherry Tomatoes,2.99,Food - Produce,Fresh and juicy cherry tomatoes for salads and snacking.,Fruits & Vegetables
174,Smoky BBQ Jackfruit,4.99,Food - Grocery,Pulled jackfruit in a smoky BBQ sauce for a tasty vegan dish.,Meat Alternatives
175,Oven Mitts with Pocket,19.99,Kitchen,Silicone oven mitts designed for safe cooking and baking.,Cooking Tools & Utensils
176,Smart Air Purifier,199.99,Home,Filters allergens and pollutants from the air for a healthier home.,Air Quality & Purification
177,Smoked Salmon,14.99,Food - Seafood,"Deliciously smoked salmon, great for bagels.",Smoked Seafood
178,Watercolor Paint Set,19.99,Art Supplies,Vibrant watercolor paints that come with brushes and palettes.,Painting Supplies
179,Electric Rice Cooker with Steamer,49.99,Kitchen,Cook rice and steam vegetables simultaneously for healthy meals.,Small Appliances
180,Teriyaki Tofu Stir-Fry,7.49,Food - Prepared Meals,Tofu stir-fried with fresh vegetables in teriyaki sauce.,Vegetarian Meals
181,Mini Cordless Vacuum Cleaner,45.99,Home Appliances,Handheld vacuum cleaner for quick and easy cleaning.,Floor Care Appliances
182,Cotton Basic Tank,14.99,Clothing - Tops,"Essential cotton tank top, perfect for layering.",Tank Tops
183,Beef Enchilada Casserole,8.99,Food - Prepared Meals,Hearty casserole with beef and enchilada sauce.,Casseroles
184,Spicy Italian Sausage,4.99,Food - Meat & Seafood,"Savory sausage with a blend of spices, perfect for pasta dishes.",Meat Products
185,LED Flashing Pet Collar,14.99,Pets,Safety collar with flashing lights for pets during night walks.,Pet Accessories
186,Classic Caesar Dressing,3.49,Food - Condiments,Rich and creamy Caesar dressing for salads and wraps.,Dressing
187,Baking Powder,1.79,Food - Baking Goods,Essential ingredient for baking fluffy cakes and pastries.,Baking Ingredients
188,A-Line Skirt,35.99,Clothing - Bottoms,"Classic A-line skirt that flatters every figure, perfect for work or play.",Bottoms
189,Multifunctional Baby Bottle Warmer,39.99,Baby,Warmer for heating baby bottles and food jars.,Feeding Accessories
190,Pet Travel Bowl,10.99,Pets,Collapsible travel bowl for pets on the go.,Pet Accessories
191,Spinach Feta Wraps,4.29,Food - Deli,"Whole wheat wraps filled with spinach, feta, and herbs.",Wraps/Rolls
192,Smartphone Tripod,29.99,Photography,Adjustable tripod for smartphones and cameras.,Tripods & Accessories
193,Sun-Dried Tomato Pesto,4.49,Food - Condiments,A rich pesto made with sun-dried tomatoes and pine nuts.,Pesto
194,Nutty Trail Mix,4.29,Food - Snacks,"A blend of nuts, seeds, and dried fruits for snacking.",Healthy Snacks
195,Basil-infused Olive Oil,6.99,Food - Cooking Oil,Extra virgin olive oil infused with fresh basil.,Infused Oils
196,High-Speed Hand Blender,39.99,Kitchen,Powerful hand blender for soups and smoothies.,Blenders & Juicers
197,Cinnamon Roll Dough,4.49,Food - Bakery,Ready-to-bake cinnamon roll dough for easy breakfasts.,Frozen Baked Goods
198,Electric Pressure Cooker,89.99,Kitchen,"Multi-function pressure cooker that can sauté, steam, and slow cook.",Small Appliances
199,Cork Yoga Mat,39.99,Fitness,Eco-friendly yoga mat made from sustainable materials.,Yoga Equipment
200,Compressible Packing Cubes,29.99,Travel,Organizational cubes for easy packing and travel.,Travel Accessories
201,Corn Tortillas,2.49,Food - Bakery,"Soft and warm corn tortillas, perfect for tacos and burritos.",Breads
202,Organic Granola Cereal,5.99,Food - Breakfast,Crunchy granola made with organic oats,Healthy Breakfast Options
203,Children's Gardening Set,19.99,Toys,Fun gardening tools designed specifically for kids.,Outdoor Play Toys
204,Berries Medley,6.99,Food - Produce,"A mix of fresh raspberries, blueberries, and blackberries.",Fresh Fruits
205,Cinnamon Spiced Almonds,5.99,Food - Snacks,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.,Nuts and Trail Mix
206,Travel Organizer,22.99,Travel,Compact travel organizer for accessories and toiletries.,Travel Accessories
207,Garlic Breadsticks,3.49,Food - Sides,"Ready-to-bake garlic breadsticks, perfect with pasta dishes.",Bread & Rolls
208,Portable Solar Charger,29.99,Electronics,Solar-powered charger for smartphones and tablets.,Solar Power Accessories
209,Personal Blender,39.99,Kitchen,Compact blender for quick smoothies and shakes.,Small Appliances
210,Cookbook,27.99,Books,Inspiring cookbook with healthy recipes.,Cookbooks & Nutrition
211,Cranberry Almond Cookies,4.29,Food - Bakery,Delicious cookies with cranberries and almonds in every bite.,Cookies
212,Pet Bed,39.99,Pets,Comfortable pet bed for small to medium-sized dogs.,Pet Accessories
213,Siphon Coffee Maker,49.99,Kitchen,Unique coffee brewing method for a flavorful experience.,Coffee Equipment
214,Mini Cordless Vacuum Cleaner,45.99,Home Appliances,Handheld vacuum cleaner for quick and easy cleaning.,Floor Care Appliances
215,Portable Air Purifier,69.99,Health,Compact air purifier to improve indoor air quality.,Health Devices
216,Comfortable Jogger Pants,29.99,Clothing - Bottoms,"Relaxed fit joggers made from soft fleece, ideal for lounging or workouts.",Bottoms
217,Sunglasses Case,15.99,Accessories,Hard-shell case for protecting sunglasses.,Eyewear
218,Black Bean Soup,3.49,Food - Soups,"Spicy and flavorful soup made with black beans, perfect as a meal or starter.",Vegetarian Soups
219,Coconut Rice,2.29,Food - Frozen,Fluffy rice cooked with coconut milk for a tropical twist.,Frozen Meals
220,Travel Pillow,22.99,Travel,Memory foam travel pillow for neck support.,Travel Accessories
221,Cordless Water Flosser,49.99,Health,Rechargeable water flosser for dental hygiene.,Oral Care & Hygiene
222,Reusable Snack Bags,14.99,Kitchen,Eco-friendly reusable bags for snacks.,Food Storage Solutions
223,Garlic & Herb Goat Cheese,5.49,Food - Dairy,"Creamy goat cheese infused with herbs and garlic, perfect for spreading on crackers.",Cheese
224,Chili Beans (canned),1.69,Food - Canned Goods,"Canned beans with chili sauce, perfect for chili dishes.",Canned Vegetables
225,Eco-Friendly Stainless Steel Straws,12.99,Kitchen,Reusable straws that come with a cleaning brush.,Kitchen Accessories
226,Portable Refrigerator Freezer,299.99,Outdoor,Compact fridge ideal for camping and road trips.,Camping Equipment
227,Balsamic Glazed Brussels Sprouts,4.99,Food - Vegetables,Roasted Brussels sprouts drizzled with balsamic glaze.,Vegetables
228,Quinoa and Kale Salad Kit,5.29,Food - Salads,"Ready-to-eat salad with quinoa and kale, drizzled with vinaigrette.",Meal Kits
229,Water-Resistant Bluetooth Speaker,59.99,Audio,Durable speaker designed for outdoor use with water resistance.,Portable Speakers
230,Apple Cinnamon Oatmeal,2.89,Food - Breakfast,Warm oatmeal flavored with apple and cinnamon.,Instant Breakfast
231,Peanut Butter Banana Smoothie Mix,4.49,Food - Beverages,"Smoothie mix combining peanut butter and banana, great for a quick breakfast.",Smoothies
232,Patterned Knit Scarf,25.99,Clothing - Accessories,Add a pop of color with this stylish patterned knit scarf.,Scarves
233,Homestyle Chicken Noodle Soup,2.99,Food - Canned Goods,Classic chicken noodle soup with tender chicken and vegetables.,Soups & Broths
234,Portable Massage Table,199.99,Health,Folding massage table for professional or home use.,Massage Therapy
235,Pet Training Clicker,5.99,Pets,Simple tool to train your pet with positive reinforcement.,Training Supplies
236,Set of Decorative Storage Bins,34.99,Home,Colorful bins to keep your space organized.,Home Organization
237,Marinated Artichokes,3.79,Food - Vegetables,Artichoke hearts marinated in herbs and oil.,Vegetables
238,Bluetooth Shower Speaker,24.99,Audio,Water-resistant Bluetooth speaker for showers.,Portable Speakers
239,Creamy Tomato Basil Soup,3.29,Food - Canned Goods,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",Soups & Broths
240,Fruit Infuser Water Bottle,15.99,Fitness,Water bottle designed to infuse flavors from fruits.,Hydration Gear
241,Stainless Steel Mixing Bowls,29.99,Kitchen,Set of versatile mixing bowls for cooking.,Cookware
242,Almond Flour Tortillas,4.99,Food - Baking & Cooking,"Gluten-free tortillas made from almond flour, perfect for various wraps and meals.",Baking Ingredients
243,Garlic Herb Grilled Chicken,8.99,Food - Frozen Foods,Marinated grilled chicken breasts seasoned with garlic and herbs.,Frozen Chicken Meals
244,Video Camera,199,Electronics,1080p HD video camera with night vision.,Cameras & Photography
245,Organic Brown Sugar,2.49,Food - Baking,Natural sweetener for baking and cooking.,Sweeteners
246,Stainless Steel Mixing Bowls,29.99,Kitchen,Set of versatile mixing bowls for cooking.,Cookware
247,Cocoa Powder,3.99,Food - Baking,Rich cocoa powder for baking and chocolate recipes.,Baking Ingredients
248,Rechargeable Battery Organizer,17.99,Home,Tidy storage solution for rechargeable batteries.,Home Organization
249,Sweetened Condensed Milk,1.89,Food - Baking Goods,Rich and creamy milk perfect for baking or desserts.,Baking Ingredients
250,Personalized Pet ID Tags,9.99,Pets,Custom engraved ID tags for pets with your contact information.,Pet Accessories
251,Classic Black Dress,79.99,Clothing - Dresses,A versatile black dress that can be styled for any occasion.,Evening Wear
252,LED Flashlight with Rechargeable Batteries,19.99,Outdoor,Bright flashlight with rechargeable batteries included.,Camping Equipment
253,Chic Jumpsuit,89.99,Clothing - Jumpsuits,An elegant jumpsuit that can be dressed up or down.,Jumpsuits
254,Pressure Cooker,89,Kitchen,Instant pressure cooker with multiple cooking settings.,Cooking Appliances
255,Lightweight Backpacking Tent,129.99,Outdoor,Easy-to-set up tent designed for campers and hikers.,Camping Equipment
